product_id,product_name,category,hs_tariff_code,weight_kg,unit_price_chf,currency,origin_country,is_hazardous,requires_customs_declaration,created_at
P001,Industrial Servo Motor,Machinery,84501100,12.5,2450.00,CHF,CH,FALSE,FALSE,2024-01-10
P002,Precision Ball Bearing,Machinery,84821010,0.8,85.00,CHF,DE,FALSE,TRUE,2024-01-12
P003,Lithium Battery Pack 48V,Electronics,85076000,3.2,320.00,CHF,CN,TRUE,TRUE,2024-01-15
P004,Organic Dark Chocolate 72%,Food,18063100,0.5,12.50,CHF,CH,FALSE,FALSE,2024-01-18
P005,Paracetamol 500mg Tablets,Pharma,30049099,0.3,18.90,CHF,CH,FALSE,FALSE,2024-01-20
P006,Cotton Fabric Roll 50m,Textiles,52081300,15.0,280.00,CHF,IT,FALSE,TRUE,2024-01-22
P007,Sulfuric Acid 98%,Chemicals,28070010,25.0,45.00,CHF,DE,TRUE,TRUE,2024-01-25
P008,LED Display Panel 27in,Electronics,85285900,4.8,650.00,CHF,CN,FALSE,TRUE,2024-01-28
P009,Emmental Cheese Wheel,Food,04069061,8.0,95.00,CHF,CH,FALSE,FALSE,2024-02-01
P010,Insulin Pen Cartridge,Pharma,30043100,0.1,145.00,CHF,FR,FALSE,TRUE,2024-02-03
P011,Polyester Yarn 200tex,Textiles,54024600,2.0,32.00,CHF,AT,FALSE,TRUE,2024-02-05
P012,Hydraulic Cylinder 100mm,Machinery,84122100,18.0,890.00,CHF,CH,FALSE,FALSE,2024-02-08
P013,Sodium Hydroxide Pellets,Chemicals,28151100,20.0,38.00,CHF,DE,TRUE,TRUE,2024-02-10
P014,Wireless Router AC3000,Electronics,85176200,0.6,189.00,CHF,CN,FALSE,TRUE,2024-02-12
P015,Dried Apricots 1kg,Food,08131000,1.0,14.50,CHF,AT,FALSE,TRUE,2024-02-15
P016,Amoxicillin Capsules,Pharma,30041020,0.2,22.80,CHF,CH,FALSE,FALSE,2024-02-18
P017,Silk Scarf Hand-printed,Textiles,50079020,0.1,185.00,CHF,IT,FALSE,TRUE,2024-02-20
P018,CNC Milling Head,Machinery,84561100,8.5,3200.00,CHF,CH,FALSE,FALSE,2024-02-22
P019,Isopropyl Alcohol 99%,Chemicals,29051220,5.0,28.00,CHF,US,TRUE,TRUE,2024-02-25
P020,Solar Panel 400W Mono,Electronics,85414020,22.0,480.00,CHF,CN,FALSE,TRUE,2024-02-28
P021,Swiss Milk Powder,Food,04021019,5.0,42.00,CHF,CH,FALSE,FALSE,2024-03-02
P022,Ibuprofen Gel 100g,Pharma,30049035,0.1,15.60,CHF,DE,FALSE,TRUE,2024-03-05
P023,Merino Wool Blanket,Textiles,63012090,2.5,220.00,CHF,AT,FALSE,TRUE,2024-03-08
P024,Pneumatic Valve Assembly,Machinery,84818019,1.2,165.00,CHF,DE,FALSE,TRUE,2024-03-10
P025,Ethanol 96% Technical,Chemicals,22071000,10.0,52.00,CHF,FR,TRUE,TRUE,2024-03-12
P026,Raspberry Pi 5 8GB,Electronics,84718000,0.3,95.00,CHF,US,FALSE,TRUE,2024-03-15
P027,Gruyère AOP Cheese,Food,04069069,5.0,78.00,CHF,CH,FALSE,FALSE,2024-03-18
P028,Vitamin D3 Supplements,Pharma,21069098,0.2,24.50,CHF,CH,FALSE,FALSE,2024-03-20
P029,Linen Table Cloth,Textiles,63025300,0.8,145.00,CHF,FR,FALSE,TRUE,2024-03-22
P030,Conveyor Belt Section 5m,Machinery,84313900,35.0,1250.00,CHF,CH,FALSE,FALSE,2024-03-25
P031,Hydrogen Peroxide 30%,Chemicals,28470000,15.0,35.00,CHF,DE,TRUE,TRUE,2024-03-28
P032,Industrial Temperature Sensor,Electronics,90251980,0.4,210.00,CHF,CH,FALSE,FALSE,2024-04-01
P033,Freeze-dried Coffee 500g,Food,21011100,0.5,28.00,CHF,CH,FALSE,FALSE,2024-04-03
P034,Surgical Suture Kit,Pharma,30061010,0.1,68.00,CHF,US,FALSE,TRUE,2024-04-05
P035,Denim Fabric Roll 30m,Textiles,52104100,12.0,195.00,CHF,IT,FALSE,TRUE,2024-04-08
P036,Gear Reduction Motor,Machinery,85015200,6.0,540.00,CHF,DE,FALSE,TRUE,2024-04-10
P037,Citric Acid Anhydrous,Chemicals,29181400,10.0,22.00,CHF,CN,FALSE,TRUE,2024-04-12
P038,USB-C Docking Station,Electronics,84733080,0.5,175.00,CHF,CN,FALSE,TRUE,2024-04-15
P039,Bircher Muesli Mix 2kg,Food,19041099,2.0,16.80,CHF,CH,FALSE,FALSE,2024-04-18
P040,Blood Pressure Monitor,Pharma,90189050,0.4,135.00,CHF,DE,FALSE,TRUE,2024-04-20
