vehicle_id,plate_number,vehicle_type,make,model,year,capacity_kg,capacity_m3,fuel_type,home_base,is_active,last_service_date
V001,BS 234567,TRUCK,Mercedes,Actros 1842,2022,18000,45.0,DIESEL,Basel,TRUE,2024-02-15
V002,BS 345678,TRUCK,Volvo,FH 460,2021,20000,50.0,DIESEL,Basel,TRUE,2024-01-20
V003,BS 456789,VAN,Mercedes,Sprinter 316,2023,1500,11.0,DIESEL,Basel,TRUE,2024-03-01
V004,BS 567890,TRUCK,MAN,TGX 18.510,2022,18000,44.0,DIESEL,Basel,TRUE,2024-02-28
V005,BS 678901,TRAILER,Renault,T High 480,2020,24000,55.0,DIESEL,Basel,TRUE,2024-01-10
V006,ZH 123456,TRUCK,Iveco,S-Way 490,2023,19000,47.0,DIESEL,Zürich,TRUE,2024-03-10
V007,ZH 234567,VAN,Mercedes,eVito,2024,900,6.0,ELECTRIC,Zürich,TRUE,2024-03-15
V008,ZH 345678,VAN,Renault,Master E-Tech,2024,1200,8.0,ELECTRIC,Zürich,TRUE,2024-03-05
V009,ZH 456789,TRUCK,Volvo,FM Electric,2023,16000,40.0,ELECTRIC,Zürich,TRUE,2024-02-20
V010,ZH 567890,TRUCK,Mercedes,eActros 300,2023,15000,38.0,ELECTRIC,Zürich,TRUE,2024-03-08
V011,ZH 678901,VAN,MAN,eTGE,2023,1000,7.5,ELECTRIC,Zürich,TRUE,2024-02-10
V012,BE 123456,TRUCK,Volvo,FH 500,2021,20000,50.0,DIESEL,Bern,TRUE,2024-01-25
V013,BE 234567,VAN,Mercedes,Sprinter 314,2022,1400,10.5,DIESEL,Bern,TRUE,2024-02-18
V014,BE 345678,TRUCK,MAN,TGS 18.470,2022,18000,44.0,DIESEL,Bern,TRUE,2024-03-12
V015,BE 456789,ELECTRIC_VAN,Mercedes,eSprinter,2024,1100,8.0,ELECTRIC,Bern,TRUE,2024-03-18
V016,BE 567890,VAN,Iveco,Daily Electric,2023,1300,9.0,ELECTRIC,Bern,TRUE,2024-02-05
V017,BS 789012,TRUCK,Renault,T High 520,2019,22000,52.0,DIESEL,Basel,FALSE,2023-11-30
V018,ZH 789012,HYBRID,Volvo,FE Hybrid,2023,12000,30.0,HYBRID,Zürich,TRUE,2024-03-20
V019,BE 678901,TRUCK,Mercedes,Actros 1845,2020,18000,45.0,DIESEL,Bern,TRUE,2024-01-15
V020,BS 890123,ELECTRIC_VAN,MAN,eTGM,2024,8000,25.0,ELECTRIC,Basel,TRUE,2024-03-22
