order_id,customer_id,order_date,status,delivery_street,delivery_postal_code,delivery_city,total_amount_chf,currency,warehouse_origin
O001,C001,2024-01-15,DELIVERED,Industriestrasse 12,8005,Zürich,4850.00,CHF,Zürich
O002,C002,2024-01-18,DELIVERED,Gewerbeweg 8,3001,Bern,1260.00,CHF,Bern
O003,C003,2024-01-22,DELIVERED,Hafenstrasse 45,8048,Zürich,3200.00,CHF,Zürich
O004,C005,2024-01-25,DELIVERED,Rue du Lac 15,1201,Genève,890.00,CHF,Bern
O005,C007,2024-01-30,DELIVERED,Münchensteinerstrasse 67,4052,Basel,5640.00,CHF,Basel
O006,C004,2024-02-03,DELIVERED,Bahnhofstrasse 22,4310,Rheinfelden,1780.00,CHF,Basel
O007,C008,2024-02-07,DELIVERED,Avenue de Rhodanie 40,1007,Lausanne,640.00,CHF,Bern
O008,C010,2024-02-12,DELIVERED,Hauptgasse 55,4500,Solothurn,2350.00,CHF,Bern
O009,C006,2024-02-15,DELIVERED,Pilatusstrasse 33,6003,Luzern,950.00,CHF,Zürich
O010,C012,2024-02-20,DELIVERED,Route de Moncor 3,1752,Villars-sur-Glâne,3100.00,CHF,Bern
O011,C009,2024-02-25,DELIVERED,Romanshornerstrasse 19,8500,Frauenfeld,420.00,CHF,Zürich
O012,C014,2024-03-01,DELIVERED,Via Nassa 28,6900,Lugano,1890.00,CHF,Zürich
O013,C011,2024-03-05,DELIVERED,Technikumstrasse 9,8400,Winterthur,7200.00,CHF,Zürich
O014,C013,2024-03-10,DELIVERED,Badenerstrasse 101,5400,Baden,560.00,CHF,Zürich
O015,C015,2024-03-14,DELIVERED,Rue de la Dixence 7,1950,Sion,2800.00,CHF,Bern
O016,C016,2024-03-18,DELIVERED,Vordergasse 73,8200,Schaffhausen,1450.00,CHF,Zürich
O017,C017,2024-03-22,DELIVERED,Quaderstrasse 18,7000,Chur,680.00,CHF,Zürich
O018,C018,2024-03-26,DELIVERED,Rue de l'Hôpital 11,2000,Neuchâtel,3950.00,CHF,Bern
O019,C019,2024-03-30,DELIVERED,Multergasse 20,9000,St. Gallen,1120.00,CHF,Zürich
O020,C020,2024-04-03,DELIVERED,Baarerstrasse 52,6300,Zug,2650.00,CHF,Zürich
O021,C021,2024-04-07,DELIVERED,Rue de Nidau 35,2502,Biel/Bienne,4100.00,CHF,Bern
O022,C022,2024-04-11,DELIVERED,Hauptgasse 6,9050,Appenzell,320.00,CHF,Zürich
O023,C023,2024-04-15,DELIVERED,Aarauerstrasse 14,4600,Olten,5800.00,CHF,Basel
O024,C024,2024-04-19,DELIVERED,Route de Saint-Cergue 21,1260,Nyon,1680.00,CHF,Bern
O025,C026,2024-04-23,DELIVERED,Allmendstrasse 90,3600,Thun,890.00,CHF,Bern
O026,C027,2024-04-27,DELIVERED,Tellistrasse 25,5000,Aarau,3250.00,CHF,Zürich
O027,C028,2024-05-01,DELIVERED,Viale Stazione 16,6500,Bellinzona,1540.00,CHF,Zürich
O028,C030,2024-05-05,DELIVERED,Neue Jonastrasse 60,8640,Rapperswil-Jona,760.00,CHF,Zürich
O029,C001,2024-05-09,DELIVERED,Industriestrasse 12,8005,Zürich,2900.00,CHF,Zürich
O030,C003,2024-05-13,DELIVERED,Hafenstrasse 45,8048,Zürich,4500.00,CHF,Zürich
O031,C005,2024-05-17,DELIVERED,Rue du Lac 15,1201,Genève,1350.00,CHF,Bern
O032,C007,2024-05-21,DELIVERED,Münchensteinerstrasse 67,4052,Basel,6200.00,CHF,Basel
O033,C002,2024-05-25,DELIVERED,Gewerbeweg 8,3001,Bern,980.00,CHF,Bern
O034,C010,2024-05-29,DELIVERED,Hauptgasse 55,4500,Solothurn,2150.00,CHF,Bern
O035,C013,2024-06-02,DELIVERED,Badenerstrasse 101,5400,Baden,890.00,CHF,Zürich
O036,C016,2024-06-06,DELIVERED,Vordergasse 73,8200,Schaffhausen,3400.00,CHF,Zürich
O037,C004,2024-06-10,DELIVERED,Bahnhofstrasse 22,4310,Rheinfelden,1250.00,CHF,Basel
O038,C019,2024-06-14,DELIVERED,Multergasse 20,9000,St. Gallen,2700.00,CHF,Zürich
O039,C006,2024-06-18,DELIVERED,Pilatusstrasse 33,6003,Luzern,560.00,CHF,Zürich
O040,C011,2024-06-22,DELIVERED,Technikumstrasse 9,8400,Winterthur,4300.00,CHF,Zürich
O041,C023,2024-06-26,DELIVERED,Aarauerstrasse 14,4600,Olten,1850.00,CHF,Basel
O042,C008,2024-06-30,DELIVERED,Avenue de Rhodanie 40,1007,Lausanne,3600.00,CHF,Bern
O043,C020,2024-07-04,DELIVERED,Baarerstrasse 52,6300,Zug,920.00,CHF,Zürich
O044,C014,2024-07-08,DELIVERED,Via Nassa 28,6900,Lugano,2400.00,CHF,Zürich
O045,C009,2024-07-12,SHIPPED,Romanshornerstrasse 19,8500,Frauenfeld,1680.00,CHF,Zürich
O046,C017,2024-07-16,SHIPPED,Quaderstrasse 18,7000,Chur,4200.00,CHF,Zürich
O047,C021,2024-07-20,SHIPPED,Rue de Nidau 35,2502,Biel/Bienne,750.00,CHF,Bern
O048,C012,2024-07-24,SHIPPED,Route de Moncor 3,1752,Villars-sur-Glâne,2100.00,CHF,Bern
O049,C015,2024-07-28,SHIPPED,Rue de la Dixence 7,1950,Sion,5400.00,CHF,Bern
O050,C026,2024-08-01,SHIPPED,Allmendstrasse 90,3600,Thun,1300.00,CHF,Bern
O051,C001,2024-08-05,SHIPPED,Industriestrasse 12,8005,Zürich,3800.00,CHF,Zürich
O052,C018,2024-08-09,SHIPPED,Rue de l'Hôpital 11,2000,Neuchâtel,960.00,CHF,Bern
O053,C024,2024-08-13,SHIPPED,Route de Saint-Cergue 21,1260,Nyon,2200.00,CHF,Bern
O054,C028,2024-08-17,SHIPPED,Viale Stazione 16,6500,Bellinzona,1450.00,CHF,Zürich
O055,C003,2024-08-21,SHIPPED,Hafenstrasse 45,8048,Zürich,6800.00,CHF,Zürich
O056,C027,2024-08-25,SHIPPED,Tellistrasse 25,5000,Aarau,580.00,CHF,Zürich
O057,C022,2024-08-29,SHIPPED,Hauptgasse 6,9050,Appenzell,1200.00,CHF,Zürich
O058,C030,2024-09-02,SHIPPED,Neue Jonastrasse 60,8640,Rapperswil-Jona,3500.00,CHF,Zürich
O059,C005,2024-09-06,CONFIRMED,Rue du Lac 15,1201,Genève,2850.00,CHF,Bern
O060,C007,2024-09-10,CONFIRMED,Münchensteinerstrasse 67,4052,Basel,4100.00,CHF,Basel
O061,C010,2024-09-14,CONFIRMED,Hauptgasse 55,4500,Solothurn,720.00,CHF,Bern
O062,C002,2024-09-18,CONFIRMED,Gewerbeweg 8,3001,Bern,1950.00,CHF,Bern
O063,C011,2024-09-22,CONFIRMED,Technikumstrasse 9,8400,Winterthur,8500.00,CHF,Zürich
O064,C004,2024-09-26,CONFIRMED,Bahnhofstrasse 22,4310,Rheinfelden,1100.00,CHF,Basel
O065,C016,2024-09-30,CONFIRMED,Vordergasse 73,8200,Schaffhausen,2600.00,CHF,Zürich
O066,C013,2024-10-04,CONFIRMED,Badenerstrasse 101,5400,Baden,3200.00,CHF,Zürich
O067,C019,2024-10-08,CONFIRMED,Multergasse 20,9000,St. Gallen,450.00,CHF,Zürich
O068,C023,2024-10-12,CONFIRMED,Aarauerstrasse 14,4600,Olten,5200.00,CHF,Basel
O069,C006,2024-10-16,CONFIRMED,Pilatusstrasse 33,6003,Luzern,1800.00,CHF,Zürich
O070,C008,2024-10-20,CONFIRMED,Avenue de Rhodanie 40,1007,Lausanne,2450.00,CHF,Bern
O071,C020,2024-10-24,PENDING,Baarerstrasse 52,6300,Zug,3100.00,CHF,Zürich
O072,C014,2024-10-28,PENDING,Via Nassa 28,6900,Lugano,680.00,CHF,Zürich
O073,C021,2024-11-01,PENDING,Rue de Nidau 35,2502,Biel/Bienne,4600.00,CHF,Bern
O074,C017,2024-11-05,PENDING,Quaderstrasse 18,7000,Chur,1350.00,CHF,Zürich
O075,C009,2024-11-09,PENDING,Romanshornerstrasse 19,8500,Frauenfeld,2900.00,CHF,Zürich
O076,C015,2024-11-13,PENDING,Rue de la Dixence 7,1950,Sion,760.00,CHF,Bern
O077,C026,2024-11-17,PENDING,Allmendstrasse 90,3600,Thun,5100.00,CHF,Bern
O078,C012,2024-11-21,PENDING,Route de Moncor 3,1752,Villars-sur-Glâne,1450.00,CHF,Bern
O079,C001,2024-11-25,PENDING,Industriestrasse 12,8005,Zürich,2200.00,CHF,Zürich
O080,C028,2024-11-29,PENDING,Viale Stazione 16,6500,Bellinzona,3800.00,CHF,Zürich
O081,C003,2024-12-03,PENDING,Hafenstrasse 45,8048,Zürich,1680.00,CHF,Zürich
O082,C018,2024-12-07,PENDING,Rue de l'Hôpital 11,2000,Neuchâtel,920.00,CHF,Bern
